,user_id,created_time,object_type,url,page_type
313,1,Tue Jun 12 01:57:45 2018,5.0,event-detail/5388,event page
314,1,Tue Jun 12 01:57:45 2018,2.0,event-detail/5388,group page
315,1,Tue Jun 12 01:58:08 2018,NaN,content-notification,content_notif
316,1,Tue Jun 12 01:58:16 2018,NaN,main-home,main home
317,1,Tue Jun 12 01:58:21 2018,5.0,event-detail/5388/,event page
318,1,Tue Jun 12 01:58:22 2018,2.0,event-detail/5388/,group page
319,1,Tue Jun 12 01:58:24 2018,NaN,main-home,main home
320,1,Tue Jun 12 01:58:36 2018,5.0,event-detail/5386/,event page
321,1,Tue Jun 12 01:58:36 2018,2.0,event-detail/5386/,group page
322,1,Tue Jun 12 01:58:59 2018,NaN,main-home,main home
323,1,Tue Jun 12 01:59:24 2018,5.0,event-detail/5384/,event page
324,1,Tue Jun 12 01:59:24 2018,2.0,event-detail/5384/,group page
325,1,Tue Jun 12 01:59:35 2018,NaN,main-home,main home
326,1,Tue Jun 12 01:59:39 2018,NaN,group-home/22,group home
327,1,Tue Jun 12 01:59:40 2018,2.0,group-home/22,group page
328,1,Tue Jun 12 03:52:11 2018,NaN,main-home,main home
329,1,Tue Jun 12 19:56:13 2018,NaN,notification,notification
330,1,Tue Jun 12 19:56:15 2018,NaN,content-notification,content_notif
331,1,Tue Jun 12 19:56:22 2018,3.0,discussions-about/29538/31053,discussion page
332,1,Tue Jun 12 19:56:22 2018,2.0,discussions-about/29538/31053,group page
333,1,Tue Jun 12 19:57:36 2018,NaN,main-home,main home
334,1,Tue Jun 12 21:17:09 2018,NaN,group-home/1813,group home
335,1,Tue Jun 12 21:17:09 2018,2.0,group-home/1813,group page
336,1,Tue Jun 12 21:17:42 2018,NaN,group-library/1813/,library
337,1,Tue Jun 12 21:17:59 2018,NaN,group-events/1813,events
338,1,Tue Jun 12 21:18:09 2018,NaN,group-discussions/1813,discussion
339,1,Tue Jun 12 21:18:59 2018,NaN,main-home,main home
340,1,Tue Jun 12 21:19:11 2018,NaN,group-home/1813,group home
341,1,Tue Jun 12 21:19:12 2018,2.0,group-home/1813,group page
342,1,Wed Jun 13 00:09:19 2018,NaN,notification,notification
343,1,Wed Jun 13 00:09:20 2018,NaN,group-notification,group notification
344,1,Wed Jun 13 00:09:27 2018,NaN,content-notification,content_notif
345,1,Wed Jun 13 00:09:35 2018,NaN,group-notification,group notification
346,1,Wed Jun 13 00:09:42 2018,NaN,group-home/111,group home
347,1,Wed Jun 13 00:09:42 2018,2.0,group-home/111,group page
348,1,Wed Jun 13 00:09:44 2018,NaN,group-admin-members/111,group admin
349,1,Wed Jun 13 00:09:56 2018,NaN,group-admin-members/111,group admin
350,1,Wed Jun 13 00:09:58 2018,NaN,main-home,main home
351,1,Wed Jun 13 01:19:27 2018,NaN,notification,notification
352,1,Wed Jun 13 01:19:29 2018,NaN,group-notification,group notification
353,1,Wed Jun 13 01:19:33 2018,NaN,content-notification,content_notif
354,1,Wed Jun 13 01:19:38 2018,NaN,main-home,main home
355,1,Wed Jun 13 01:46:48 2018,NaN,main-home,main home
356,1,Wed Jun 13 18:49:13 2018,NaN,main-home,main home
357,1,Wed Jun 13 18:51:55 2018,NaN,group-home/1813,group home
358,1,Wed Jun 13 18:51:55 2018,2.0,group-home/1813,group page
359,1,Wed Jun 13 18:51:57 2018,NaN,group-admin-members/1813,group admin
